Driver,LapNumber,PitOutTime
VER,18.0,0 days 01:27:55.379000
VER,38.0,0 days 02:00:12.014000
PER,13.0,0 days 01:19:59.484000
PER,37.0,0 days 01:58:54.639000
SAI,15.0,0 days 01:23:15.387000
SAI,36.0,0 days 01:57:20.500000
LEC,12.0,0 days 01:18:23.940000
LEC,35.0,0 days 01:55:55.941000
RUS,12.0,0 days 01:18:21.160000
RUS,32.0,0 days 01:51:04.687000
NOR,14.0,0 days 01:21:42.671000
NOR,34.0,0 days 01:54:22.389000
HAM,13.0,0 days 01:20:09.902000
HAM,34.0,0 days 01:54:28.183000
PIA,13.0,0 days 01:20:08.021000
PIA,35.0,0 days 01:56:03.352000
ALO,16.0,0 days 01:25:06.892000
ALO,42.0,0 days 02:07:41.382000
STR,10.0,0 days 01:15:25.073000
STR,28.0,0 days 01:45:07.900000
ZHO,10.0,0 days 01:15:22.700000
ZHO,29.0,0 days 01:46:42.838000
MAG,12.0,0 days 01:18:39.594000
MAG,33.0,0 days 01:53:19.982000
RIC,14.0,0 days 01:22:00.380000
RIC,36.0,0 days 01:58:17.022000
TSU,15.0,0 days 01:23:30.727000
TSU,35.0,0 days 01:56:29.630000
ALB,16.0,0 days 01:25:11.918000
ALB,37.0,0 days 01:59:52.655000
HUL,2.0,0 days 01:02:28.664000
HUL,21.0,0 days 01:33:51.368000
HUL,42.0,0 days 02:08:12.280000
OCO,11.0,0 days 01:17:03.528000
OCO,31.0,0 days 01:50:13.288000
GAS,13.0,0 days 01:20:26.625000
GAS,32.0,0 days 01:51:55.547000
GAS,44.0,0 days 02:11:38.724000
BOT,13.0,0 days 01:20:27.061000
BOT,31.0,0 days 01:51:05.158000
SAR,11.0,0 days 01:18:13.302000
SAR,29.0,0 days 01:48:17.080000
SAR,41.0,0 days 02:08:05.424000
